type,name,description,value
homeopathy,Arnica Montana,Trauma & bruising,30C 200C
homeopathy,Belladonna,High fever & inflammation,30C 1M
homeopathy,Calendula,Topical wounds & healing,30C
homeopathy,Nux Vomica,"Indigestion, irritability",30C
homeopathy,Aconite,"Sudden shock, fear",30C
homeopathy,Gelsemium,"Stage fright, anxiety",30C
homeopathy,Phosphorus,Bleeding disorders,30C
homeopathy,Ignatia,"Grief, emotional shock",30C
homeopathy,Bryonia,"Joint pain, dry cough",30C
homeopathy,Rhus Tox,"Back pain, rheumatism",30C
homeopathy,Arnica Montana,Trauma & bruising,30C 200C
homeopathy,Belladonna,High fever & inflammation,30C 1M
homeopathy,Calendula,Topical wounds & healing,30C
homeopathy,Nux Vomica,"Indigestion, irritability",30C
homeopathy,Aconite,"Sudden shock, fear",30C
homeopathy,Gelsemium,"Stage fright, anxiety",30C
homeopathy,Phosphorus,Bleeding disorders,30C
homeopathy,Ignatia,"Grief, emotional shock",30C
homeopathy,Bryonia,"Joint pain, dry cough",30C
homeopathy,Rhus Tox,"Back pain, rheumatism",30C
homeopathy,Arnica Montana,Trauma & bruising,30C 200C
homeopathy,Belladonna,High fever & inflammation,30C 1M
homeopathy,Calendula,Topical wounds & healing,30C
homeopathy,Nux Vomica,"Indigestion, irritability",30C
homeopathy,Aconite,"Sudden shock, fear",30C
homeopathy,Gelsemium,"Stage fright, anxiety",30C
homeopathy,Phosphorus,Bleeding disorders,30C
homeopathy,Ignatia,"Grief, emotional shock",30C
homeopathy,Bryonia,"Joint pain, dry cough",30C
homeopathy,Rhus Tox,"Back pain, rheumatism",30C
homeopathy,Arnica Montana,Trauma & bruising,30C 200C
homeopathy,Belladonna,High fever & inflammation,30C 1M
homeopathy,Calendula,Topical wounds & healing,30C
homeopathy,Nux Vomica,"Indigestion, irritability",30C
homeopathy,Aconite,"Sudden shock, fear",30C
homeopathy,Gelsemium,"Stage fright, anxiety",30C
homeopathy,Phosphorus,Bleeding disorders,30C
homeopathy,Ignatia,"Grief, emotional shock",30C
homeopathy,Bryonia,"Joint pain, dry cough",30C
homeopathy,Rhus Tox,"Back pain, rheumatism",30C
